Report Number,Report DateTime,Offense Parent Group,Offense,Offense Code,MCPP,Longitude,Latitude,Year,Month,Day,Hour,Minute,Location,Zipcode
2020-350424,12/22/2020 12:17:50 AM,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,LAKECITY,-122.303356324,47.70709528,2020.0,12.0,21.0,20.0,0.0,"10709, Victory Lane Northeast, Victory Heights, Seattle, King County, Washington, 98125, United States",98125
2020-350424,12/22/2020 12:17:50 AM,LARCENY-THEFT,Theft From Motor Vehicle,23F,LAKECITY,-122.303356324,47.70709528,2020.0,12.0,21.0,20.0,0.0,"10709, Victory Lane Northeast, Victory Heights, Seattle, King County, Washington, 98125, United States",98125
2020-348975,12/20/2020 10:13:05 AM,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,CENTRAL AREA/SQUIRE PARK,-122.308843676,47.61628712,2020.0,12.0,1.0,0.0,1.0,"1640, 18th Avenue, Capitol Hill, Seattle, King County, Washington, 98122, United States",98122
2020-344093,12/14/2020 03:40:34 PM,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,LAKECITY,-122.293641984,47.72198669,2020.0,12.0,13.0,22.0,0.0,"The Beer Authority, 12720, Lake City Way Northeast, Cedar Park, Lake City, Seattle, King County, Washington, 98125, United States",98125
2020-340073,12/09/2020 05:46:07 PM,LARCENY-THEFT,Theft of Motor Vehicle Parts or Accessories,23G,NORTHGATE,-122.333777885,47.6934619,2020.0,12.0,6.0,11.0,0.0,"8911, Meridian Avenue North, Licton Springs, Maple Leaf, Seattle, King County, Washington, 98103, United States",98103
2020-339993,12/09/2020 03:42:14 PM,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,MADRONA/LESCHI,-122.290510406,47.60597764,2020.0,12.0,8.0,19.0,0.0,"429, 33rd Avenue, Madrona, Seattle, King County, Washington, 98122, United States",98122
2020-337983,12/07/2020 10:35:30 AM,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,SANDPOINT,-122.290299187,47.67669147,2020.0,12.0,6.0,23.0,0.0,"6531, 35th Avenue Northeast, Wedgwood, Seattle, King County, Washington, 98115, United States",98115
2020-357613,12/31/2020 03:50:30 PM,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,CENTRAL AREA/SQUIRE PARK,-122.298832993,47.61078997,2020.0,12.0,30.0,20.0,0.0,"928, 26th Avenue, Madison Valley, Seattle, King County, Washington, 98122, United States",98122
2020-357388,12/31/2020 11:01:51 AM,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,PHINNEY RIDGE,-122.355325037,47.6768917,2020.0,12.0,30.0,20.0,0.0,"6534, Greenwood Avenue North, Phinney Ridge, Seattle, King County, Washington, 98103, United States",98103
2020-357306,12/31/2020 07:07:59 AM,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,QUEEN ANNE,-122.350765603,47.63443358,2020.0,12.0,30.0,23.0,30.0,"1711, Nob Hill Avenue North, Queen Anne, Seattle, King County, Washington, 98109, United States",98109
2020-929073,12/30/2020 02:03:44 PM,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,EASTLAKE - WEST,-122.32574221,47.63631983,2020.0,12.0,29.0,12.0,10.0,"Abby Rose, 1917, Eastlake Avenue East, Eastlake, Capitol Hill, Seattle, King County, Washington, 98102, United States",98102
2020-929075,12/30/2020 02:03:29 PM,LARCENY-THEFT,Theft From Motor Vehicle,23F,UNIVERSITY,-122.314261919,47.66218831,2020.0,12.0,29.0,18.0,45.0,"University Regency, 4522, Brooklyn Avenue Northeast, University District, Seattle, King County, Washington, 98105, United States",98105
2020-929071,12/30/2020 01:42:20 PM,LARCENY-THEFT,Theft From Motor Vehicle,23F,QUEEN ANNE,-122.361914796,47.62673542,2020.0,12.0,29.0,0.0,35.0,"327, West Olympic Place, Uptown, Queen Anne, Seattle, King County, Washington, 98119, United States",98119
2020-356708,12/30/2020 01:37:45 PM,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,MADISON PARK,-122.278460515,47.63636327,2020.0,12.0,29.0,16.0,0.0,"1916, 42nd Avenue East, Edgewater Park, Madison Park, Seattle, King County, Washington, 98112, United States",98112
2020-929069,12/30/2020 01:32:26 PM,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,CAPITOL HILL,-122.322177312,47.61814802,2020.0,12.0,30.0,5.0,55.0,"1819, Harvard Avenue, First Hill, Seattle, King County, Washington, 98122, United States",98122
2020-356686,12/30/2020 01:09:17 PM,TRESPASS OF REAL PROPERTY,Trespass of Real Property,90J,FIRST HILL,-122.328339439,47.60947933,2020.0,12.0,30.0,11.0,21.0,"Virginia Mason Hospital & Seattle Medical Center, 1100, 9th Avenue, Central Business District, First Hill, Seattle, King County, Washington, 98101, United States",98101
2020-929057,12/30/2020 01:03:00 PM,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,FREMONT,-122.35548709,47.65415338,2020.0,12.0,29.0,18.0,0.0,"Callisto, North 39th Street, Fremont, Seattle, King County, Washington, 98119, United States",98119
2020-929044,12/30/2020 12:53:38 PM,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,FREMONT,-122.349332187,47.65933678,2020.0,12.0,29.0,19.0,30.0,"713, North 43rd Street, Fremont, Seattle, King County, Washington, 98103, United States",98103
2020-929051,12/30/2020 12:53:03 PM,LARCENY-THEFT,Theft From Motor Vehicle,23F,FREMONT,-122.359533917,47.65414645,2020.0,12.0,29.0,18.0,30.0,"206, Northwest 39th Street, Fremont, Seattle, King County, Washington, 98107, United States",98107
